date,value,series_id,indicator_name,unit,geography,geo_level,source
2011-05-01,7701.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-05-01,20253.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-05-01,17407.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-05-01,11697.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-05-01,131703.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-06-01,2685.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-06-01,788.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-06-01,20284.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-06-01,24962.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-06-01,7690.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-06-01,17424.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-06-01,5528.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-06-01,11710.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-06-01,131931.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-07-01,25010.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-07-01,11729.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-07-01,20332.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-07-01,2675.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-07-01,131992.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-07-01,799.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-07-01,5547.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-07-01,7692.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-07-01,17431.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-08-01,5552.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-08-01,132125.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-08-01,2632.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-08-01,11748.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-08-01,25029.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-08-01,20367.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-08-01,805.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-08-01,7697.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-08-01,17506.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-09-01,812.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-09-01,2676.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-09-01,5584.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-09-01,7695.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-09-01,11752.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
